record_id;pncp_id;id_compra_item;descricao;catmat;catser;quantidade;valor_unitario;valor_total;valor_referencia;unidade_medida;unidade_canonica;orgao_cnpj;orgao_razao;esfera;poder;uf;municipio_ibge;municipio_nome;fornecedor_cnpj;fornecedor_razao;modalidade;objeto;ano;publicado_em;uf_item;quarter;snapshot_id;methodology_version;source;valor_por_unidade_canonica
de-clean;29477000000180-1-2024-00A101;I-A1-CLEAN;PAPEL A4 RESMA A1 PEER;900001;;10;5.00;50.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5.00
de-peer-2;29477000000180-1-2024-00A101;I-A1-PEER2;PAPEL A4 RESMA A1 PEER;900001;;8;5.00;40.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5.00
de-peer-3;29477000000180-1-2024-00A101;I-A1-PEER3;PAPEL A4 RESMA A1 PEER;900001;;12;5.00;60.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5.00
de-peer-4;29477000000180-1-2024-00A101;I-A1-PEER4;PAPEL A4 RESMA A1 PEER;900001;;6;5.00;30.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5.00
de-shift;29477000000180-1-2024-00A101;I-A1-SHIFT;PAPEL A4 RESMA A1 PEER;900001;;10;5000.00;50000.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5000.00
de-nearmiss;29477000000180-1-2024-00A101;I-A1-NEAR;PAPEL A4 RESMA A1 PEER;900001;;10;50.00;500.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;papel a4 a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;50.00
de-mismatch;29477000000180-1-2024-00A102;I-A1-MISMATCH;CANETA A1 ARITHMETIC MISS;900002;;10;5.00;40.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;caneta a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;5.00
de-collapse;29477000000180-1-2024-00A103;I-A1-COLLAPSE;SERVICO AVULSO A1 COLLAPSE;900003;;1;180.00;180.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;servico a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;180.00
de-zero-qty;29477000000180-1-2024-00A104;I-A1-ZERO;LOTE A1 ZERO QTY;900004;;0;5.00;0.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;lote zero a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;
de-neg-unit;29477000000180-1-2024-00A105;I-A1-NEG;LOTE A1 NEGATIVE UNIT;900005;;10;-5.00;-50.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;lote neg a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;
de-dup-a;29477000000180-1-2024-00A106;I-A1-DUP;REAME DUPLICADO A1;900006;;4;12.00;48.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;reame a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;12.00
de-dup-b;29477000000180-1-2024-00A106;I-A1-DUP;REAME DUPLICADO A1;900006;;4;12.00;48.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;reame a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;12.00
de-dup-c;29477000000180-1-2024-00A106;I-A1-DUP;REAME DUPLICADO A1;900006;;4;12.00;48.00;;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;reame a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;12.00
de-catalog;29477000000180-1-2024-00A107;I-A1-CATALOG;SCANNER A1 CATALOG MISS;900007;;2;2500.00;5000.00;10.00;UN;un;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;municipal;executivo;RJ;3306305;Volta Redonda;11222333000181;PAPELARIA NOVA LTDA;Pregao;scanner a1;2024;2024-03-15;RJ;2024-Q1;data-error-golden;phase1-0.1.0;compras_gov;2500.00
